충전소ID,용도,충전기ID,시도,시군구,본부,사업소,주소,충전기명,충전구분,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,"농업, 임업, 어업 사업장 수",광업 사업장 수,제조업 사업장 수,"전기, 가스, 증기 및 공기조절 공급업 사업장 수","수도, 하수 및 폐기물 처리, 원료 재생업 사업장 수",건설업 사업장 수,도매 및 소매업 사업장 수,운수 및 창고업 사업장 수,숙박 및 음식점업 사업장 수,정보통신업 사업장 수,금융 및 보험업,부동산업 사업장 수,"전문, 과학 및 기술 서비스업 사업장 수","사업시설관리, 사업지원 및 임대 서비스업 사업장 수","공공행정, 국방 및 사회보장 행정 사업장 수",교육 서비스업 사업장 수,보건업 및 사회복지 서비스업 사업장 수,"예술, 스포츠 및 여가관련 서비스업 사업장 수","협회 및 단체, 수리 및 기타 개인 서비스업 사업장 수",총 사업체 수,공시지가,공시일자,표준지여부,데이터기준일자,상권 분류 코드,상권 분류,상권 코드,상권명,당월_매출_건수 총합,당월_매출_건수 상권별 평균,4세이하,5세이상~9세이하,10세이상~14세이하,15세이상~19세이하,20세이상~24세이하,25세이상~29세이하,30세이상~34세이하,35세이상~39세이하,40세이상~44세이하,45세이상~49세이하,50세이상~54세이하,55세이상~59세이하,60세이상~64세이하,65세이상~69세이하,70세이상~74세이하,75세이상~79세이하,80세이상~84세이하,85세이상~89세이하,90세이상~94세이하,95세이상~99세이하,100세이상,4세이하_남자,5세이상~9세이하_남자,10세이상~14세이하_남자,15세이상~19세이하_남자,20세이상~24세이하_남자,25세이상~29세이하_남자,30세이상~34세이하_남자,35세이상~39세이하_남자,40세이상~44세이하_남자,45세이상~49세이하_남자,50세이상~54세이하_남자,55세이상~59세이하_남자,60세이상~64세이하_남자,65세이상~69세이하_남자,70세이상~74세이하_남자,75세이상~79세이하_남자,80세이상~84세이하_남자,85세이상~89세이하_남자,90세이상~94세이하_남자,95세이상~99세이하_남자,100세이상_남자,4세이하_여자,5세이상~9세이하_여자,10세이상~14세이하_여자,15세이상~19세이하_여자,20세이상~24세이하_여자,25세이상~29세이하_여자,30세이상~34세이하_여자,35세이상~39세이하_여자,40세이상~44세이하_여자,45세이상~49세이하_여자,50세이상~54세이하_여자,55세이상~59세이하_여자,60세이상~64세이하_여자,65세이상~69세이하_여자,70세이상~74세이하_여자,75세이상~79세이하_여자,80세이상~84세이하_여자,85세이상~89세이하_여자,90세이상~94세이하_여자,95세이상~99세이하_여자,100세이상_여자,총인구,총인구(남자),총인구(여자),20㎡이하(호),20㎡~40㎡이하(호),40㎡~60㎡이하(호),60㎡~85㎡이하(호),85㎡~100㎡이하(호),100㎡~130㎡이하(호),130㎡~165㎡이하(호),165㎡~230㎡이하(호),230㎡초과(호),다세대,단독주택,아파트,연립주택,영업용 건물 내 주택,주택이외 거처,1979년 이전,1980년~1989년,1990년~1999년,2000년~2004년,2005년~2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,총주택(거처)수,1세대가구,2세대가구,3세대가구,4세대가구,1인가구,비친족가구,총가구수,총주택(500m)value,공동비율(500m)value,고속(250m)value,gas_500m,market_500m,parking_500m,parkroom_500m,coffee_500m,convi_500m,park_1km,parkroom_1km,gas_1km,market_1km,coffee_1km,convi_1km,police_500m,119_500m,public_500m,police_1km,119_1km,public_1km,AVE_HMDT,TOP_HMDT,charging_500m,charging_1km,charging_3km,전기,하이브리드(CNG+전기),하이브리드(LPG+전기),하이브리드(경유+전기),하이브리드(휘발유+전기),totalcar,총교통량,유입,유출,tour_500m,tour_1km,depart_500m,depart_1km,bus_500m,bus_1km,subway_500m,subway_1km,job_500m,job_1km,sleep_500m,sleep_1km,wash_500m,wash_1km,repair_500m,repair_1km,isunder,소계,휘발유,등유,경유,LPG,충전량
1,업무용,1,서울특별시,강남구,,,서울특별시 강남구 영동대로 512,급속1,급속,서울특별시 강남구 영동대로 512,127.0631762,37.5117039,정좌표,1.17e+18,새주소,서울특별시 강남구 영동대로 512,서울특별시 강남구 삼성동 167,6172.0,1168058000.0,삼성1동,1168010500,삼성동,5.0,3.0,68.0,3.0,3.0,78.0,1178,63.0,474,341.0,514.0,372.0,620.0,152.0,3.0,120.0,74.0,37.0,145,4249,75650000,2024/04/30,Y,2024/08/02,D,발달상권,3120222,삼성역,24211856.0,175448.2319,48.0,71.0,173.0,212.0,192.0,328.0,332.0,242.0,287.0,306,288.0,169.0,173.0,125,80,58,38.0,18.0,,,,28.0,23.0,115.0,137.0,87.0,138.0,170.0,111.0,139.0,134,159.0,93.0,82.0,60,43.0,23,23.0,8.0,,,,18.0,46.0,61.0,73.0,108.0,193.0,160.0,129.0,146.0,170.0,127.0,79.0,89.0,63,40,33.0,13.0,8.0,,,,3134,1572,1565,19.0,304.0,130.0,156.0,25.0,115.0,8.0,17.0,46.0,457.0,54.0,299.0,,13.0,525.0,0.0,64.0,93.0,396.0,85.0,9.0,,,149.0,,27.0,,,,,,,,825.0,167,486,29.0,,938.0,69.0,1692,0.0,0.0,7.525,0,15,4,268,74,37,6,1203,1,35,179,94,1,3,1,1,4,1,24,94,122,253,3278,268,0,1,26,609,904,67750,28070,39680,59,168,1,7,18,31,1,2,418,1365,8,18,0,5,3,12,0,1708.641,577.055,5.961,307.21,796.719,337
10,공용,40,서울특별시,강북구 강북구,서울,강북성북,서울특별시 강북구 강북구 도봉로 242,급속01,급속,서울특별시 강북구 강북구 도봉로 242,127.0248884,37.6305835,정좌표,1.13e+18,새주소,서울특별시 강북구 도봉로 242,서울특별시 강북구 미아동 190-1,1132.0,1130553500.0,미아동,1130510100,미아동,,,154.0,3.0,3.0,130.0,640,39.0,443,51.0,131.0,153.0,103.0,76.0,5.0,72.0,121.0,94.0,291,2517,7430000,2024/04/30,N,2024/08/02,A,골목상권,3110369,성신여대운정그린캠퍼스,984584.0,12155.35802,242.0,331.0,410.0,560.0,1254.0,1745.0,1385.0,1017.0,1249.0,1330,1603.0,1473.0,1592.0,1335,1030,902,663.0,260.0,81.0,18.0,5.0,122.0,167.0,214.0,267.0,435.0,873.0,781.0,566.0,681.0,744,826.0,737.0,769.0,606,462.0,382,274.0,109.0,23.0,8.0,,123.0,162.0,199.0,291.0,817.0,875.0,607.0,454.0,566.0,584.0,780.0,734.0,826.0,727,566,523.0,392.0,154.0,61.0,13.0,5.0,18493,9044,9447,540.0,955.0,1708.0,1430.0,53.0,139.0,388.0,441.0,187.0,2323.0,1393.0,1544.0,489.0,89.0,411.0,359.0,562.0,1971.0,775.0,581.0,47.0,72.0,203.0,170.0,104.0,261.0,200.0,195.0,53.0,48.0,33.0,157.0,62.0,5843.0,1442,2973,261.0,,4757.0,276.0,9712,259.0,27.8,9.519,2,21,7,721,34,26,25,2035,7,79,155,108,0,0,1,3,0,5,23,88,34,224,1793,67,0,10,5,187,269,42409,20921,21488,8,41,5,10,10,70,1,2,11,102,23,64,2,10,5,41,0,544.65,175.654,2.05,140.198,226.428,468133
11,공용,47,서울특별시,중구,서울,서울전력관리처,"서울특별시 중구 퇴계로 140 (남산동3가, 한국전력공사 경인건설본부)",급속01,급속,"서울특별시 중구 퇴계로 140 (남산동3가, 한국전력공사 경인건설본부) ",126.9874754,37.5606636,정좌표,1.11e+18,새주소,서울특별시 중구 퇴계로 140,서울특별시 중구 남산동3가 11-10,4629.0,1114055000.0,명동,1114013000,남산동3가,,,350.0,5.0,3.0,40.0,2579,519.0,1047,205.0,996.0,488.0,368.0,312.0,14.0,66.0,173.0,68.0,388,7618,16510000,2024/04/30,N,2024/08/02,D,발달상권,3120027,명동역(명동재미로),4866167.0,43839.34234,101.0,112.0,79.0,135.0,243.0,309.0,358.0,281.0,288.0,298,372.0,352.0,388.0,376,269,186,135.0,81.0,36.0,8.0,5.0,52.0,67.0,41.0,51.0,82.0,150.0,184.0,140.0,136.0,130,164.0,167.0,156.0,154,118.0,65,56.0,21.0,8.0,5.0,,47.0,48.0,41.0,82.0,164.0,157.0,177.0,144.0,150.0,166.0,206.0,183.0,230.0,220,149,119.0,82.0,58.0,26.0,8.0,5.0,4400,1943,2455,35.0,77.0,102.0,97.0,29.0,193.0,360.0,320.0,66.0,61.0,263.0,904.0,,51.0,400.0,222.0,25.0,61.0,32.0,21.0,468.0,386.0,5.0,12.0,8.0,5.0,0.0,,,8.0,17.0,17.0,5.0,1279.0,379,542,62.0,5.0,1030.0,76.0,2092,120.0,3.33,13.469,0,43,3,102,108,48,19,545,1,191,390,163,2,1,1,5,2,5,0,0,51,282,2669,327,0,2,47,510,886,31410,12480,18930,205,867,2,20,11,46,1,5,168,682,148,312,1,3,1,4,0,300.399,113.051,30.265,69.294,52.598,33484
11,업무용,48,서울특별시,중구,서울,서울전력관리처,"서울특별시 중구 퇴계로 140 (남산동3가, 한국전력공사 경인건설본부)",완속01,완속,"서울특별시 중구 퇴계로 140 (남산동3가, 한국전력공사 경인건설본부) ",126.9874754,37.5606636,정좌표,1.11e+18,새주소,서울특별시 중구 퇴계로 140,서울특별시 중구 남산동3가 11-10,4629.0,1114055000.0,명동,1114013000,남산동3가,,,350.0,5.0,3.0,40.0,2579,519.0,1047,205.0,996.0,488.0,368.0,312.0,14.0,66.0,173.0,68.0,388,7618,16510000,2024/04/30,N,2024/08/02,D,발달상권,3120027,명동역(명동재미로),4866167.0,43839.34234,101.0,112.0,79.0,135.0,243.0,309.0,358.0,281.0,288.0,298,372.0,352.0,388.0,376,269,186,135.0,81.0,36.0,8.0,5.0,52.0,67.0,41.0,51.0,82.0,150.0,184.0,140.0,136.0,130,164.0,167.0,156.0,154,118.0,65,56.0,21.0,8.0,5.0,,47.0,48.0,41.0,82.0,164.0,157.0,177.0,144.0,150.0,166.0,206.0,183.0,230.0,220,149,119.0,82.0,58.0,26.0,8.0,5.0,4400,1943,2455,35.0,77.0,102.0,97.0,29.0,193.0,360.0,320.0,66.0,61.0,263.0,904.0,,51.0,400.0,222.0,25.0,61.0,32.0,21.0,468.0,386.0,5.0,12.0,8.0,5.0,0.0,,,8.0,17.0,17.0,5.0,1279.0,379,542,62.0,5.0,1030.0,76.0,2092,120.0,3.33,13.469,0,43,3,102,108,48,19,545,1,191,390,163,2,1,1,5,2,5,0,0,51,282,2669,327,0,2,47,510,886,31410,12480,18930,205,867,2,20,11,46,1,5,168,682,148,312,1,3,1,4,0,300.399,113.051,30.265,69.294,52.598,10434
12,업무용,320,서울특별시,중랑구,서울,동대문중랑,서울특별시 중랑구 동일로 862,완속01,완속,서울특별시 중랑구 동일로 862,127.0792482,37.6074671,정좌표,1.13e+18,새주소,서울특별시 중랑구 동일로 862,서울특별시 중랑구 묵동 181-4,2045.0,1126062000.0,묵1동,1126010400,묵동,,3.0,229.0,0.0,8.0,171.0,670,40.0,262,66.0,20.0,118.0,104.0,83.0,3.0,86.0,67.0,68.0,239,2230,4974000,2024/04/30,N,2024/08/02,A,골목상권,3110247,먹골역 1번,1756345.0,16262.4537,445.0,587.0,667.0,718.0,1158.0,2056.0,1844.0,1592.0,1712.0,1628,2058.0,2022.0,2132.0,1853,1234,893,589.0,228.0,58.0,8.0,5.0,225.0,303.0,353.0,363.0,495.0,1029.0,941.0,842.0,900.0,792,1009.0,1017.0,955.0,866,585.0,403,260.0,83.0,18.0,5.0,,218.0,287.0,312.0,353.0,661.0,1025.0,906.0,753.0,810.0,834.0,1047.0,1008.0,1180.0,990,652,488.0,327.0,143.0,38.0,8.0,5.0,23480,11440,12043,248.0,1425.0,2019.0,1939.0,160.0,265.0,286.0,499.0,351.0,3659.0,1238.0,1916.0,254.0,126.0,130.0,558.0,338.0,1341.0,1782.0,347.0,86.0,178.0,362.0,211.0,210.0,154.0,366.0,427.0,237.0,226.0,161.0,108.0,110.0,7195.0,1956,4240,341.0,0.0,4429.0,236.0,11201,678.0,29.06,4.569,1,25,0,0,32,21,0,0,1,57,85,56,0,0,1,1,1,4,22,83,3,108,2826,66,0,2,1,236,305,67004,33629,33375,3,15,0,2,10,49,1,2,21,36,2,7,4,13,8,31,0,784.923,263.399,10.0,282.142,229.161,3348
13,공용,324,서울특별시,마포구,서울,마포용산,서울특별시 마포구 토정로37길 38,급속01,급속,서울특별시 마포구 토정로37길 38,126.9466281,37.5420512,정좌표,1.14e+18,새주소,서울특별시 마포구 토정로37길 38,서울특별시 마포구 도화동 51-3,4158.0,1144059000.0,용강동,1144010400,도화동,0.0,,164.0,5.0,5.0,170.0,1527,947.0,947,613.0,272.0,365.0,731.0,314.0,11.0,225.0,233.0,123.0,441,7088,19045000,2024/04/30,N,2024/08/02,D,발달상권,3120106,마포역,4315236.0,34247.90476,895.0,1040.0,1008.0,874.0,1268.0,2514.0,2819.0,2635.0,2340.0,2233,2441.0,2181.0,2007.0,1490,991,782,687.0,352.0,119.0,18.0,8.0,457.0,528.0,503.0,442.0,476.0,1004.0,1288.0,1200.0,1156.0,1036,1151.0,1050.0,957.0,739,443.0,326,265.0,141.0,28.0,5.0,0.0,436.0,510.0,508.0,435.0,790.0,1508.0,1534.0,1433.0,1187.0,1195.0,1288.0,1134.0,1053.0,749,551,454.0,425.0,214.0,89.0,13.0,8.0,28707,13196,15509,202.0,1619.0,1616.0,3528.0,71.0,1927.0,485.0,197.0,61.0,426.0,540.0,8613.0,81.0,43.0,2975.0,250.0,342.0,2828.0,2900.0,989.0,171.0,743.0,50.0,206.0,5.0,367.0,0.0,5.0,140.0,64.0,519.0,120.0,8.0,9705.0,2316,5043,433.0,5.0,5174.0,429.0,13393,107.0,19.63,12.22,1,16,1,505,89,39,1,505,2,65,202,80,1,1,2,1,1,5,22,82,227,832,3513,107,0,0,11,613,731,117615,63796,53819,167,333,6,10,21,73,2,3,230,484,10,34,2,7,3,19,1,388.598,201.954,4.222,94.79,86.579,29306
13,업무용,45,서울특별시,마포구,서울,마포용산,서울특별시 마포구 토정로37길 38,완속01,완속,서울특별시 마포구 토정로37길 38,126.9466281,37.5420512,정좌표,1.14e+18,새주소,서울특별시 마포구 토정로37길 38,서울특별시 마포구 도화동 51-3,4158.0,1144059000.0,용강동,1144010400,도화동,0.0,,164.0,5.0,5.0,170.0,1527,947.0,947,613.0,272.0,365.0,731.0,314.0,11.0,225.0,233.0,123.0,441,7088,19045000,2024/04/30,N,2024/08/02,D,발달상권,3120106,마포역,4315236.0,34247.90476,895.0,1040.0,1008.0,874.0,1268.0,2514.0,2819.0,2635.0,2340.0,2233,2441.0,2181.0,2007.0,1490,991,782,687.0,352.0,119.0,18.0,8.0,457.0,528.0,503.0,442.0,476.0,1004.0,1288.0,1200.0,1156.0,1036,1151.0,1050.0,957.0,739,443.0,326,265.0,141.0,28.0,5.0,0.0,436.0,510.0,508.0,435.0,790.0,1508.0,1534.0,1433.0,1187.0,1195.0,1288.0,1134.0,1053.0,749,551,454.0,425.0,214.0,89.0,13.0,8.0,28707,13196,15509,202.0,1619.0,1616.0,3528.0,71.0,1927.0,485.0,197.0,61.0,426.0,540.0,8613.0,81.0,43.0,2975.0,250.0,342.0,2828.0,2900.0,989.0,171.0,743.0,50.0,206.0,5.0,367.0,0.0,5.0,140.0,64.0,519.0,120.0,8.0,9705.0,2316,5043,433.0,5.0,5174.0,429.0,13393,107.0,19.63,12.22,1,16,1,505,89,39,1,505,2,65,202,80,1,1,2,1,1,5,22,82,227,832,3513,107,0,0,11,613,731,117615,63796,53819,167,333,6,10,21,73,2,3,230,484,10,34,2,7,3,19,1,388.598,201.954,4.222,94.79,86.579,5671
14,공용,811,서울특별시,중구,서울,서울직할,서울특별시 중구 남대문로 92,급속01,급속,서울특별시 중구 남대문로 92,126.9830319,37.5653108,정좌표,1.11e+18,새주소,서울특별시 중구 남대문로 92,서울특별시 중구 을지로2가 199-4,4534.0,1114055000.0,명동,1114010500,을지로2가,,,350.0,5.0,3.0,40.0,2579,519.0,1047,205.0,996.0,488.0,368.0,312.0,14.0,66.0,173.0,68.0,388,7618,74250000,2024/04/30,N,2024/08/02,D,발달상권,3120028,명동(명동거리),17994029.0,134283.7985,101.0,112.0,79.0,135.0,243.0,309.0,358.0,281.0,288.0,298,372.0,352.0,388.0,376,269,186,135.0,81.0,36.0,8.0,5.0,52.0,67.0,41.0,51.0,82.0,150.0,184.0,140.0,136.0,130,164.0,167.0,156.0,154,118.0,65,56.0,21.0,8.0,5.0,,47.0,48.0,41.0,82.0,164.0,157.0,177.0,144.0,150.0,166.0,206.0,183.0,230.0,220,149,119.0,82.0,58.0,26.0,8.0,5.0,4400,1943,2455,35.0,77.0,102.0,97.0,29.0,193.0,360.0,320.0,66.0,61.0,263.0,904.0,,51.0,400.0,222.0,25.0,61.0,32.0,21.0,468.0,386.0,5.0,12.0,8.0,5.0,0.0,,,8.0,17.0,17.0,5.0,1279.0,379,542,62.0,5.0,1030.0,76.0,2092,5.0,0.0,14.19,0,54,6,67,142,68,24,566,1,222,512,217,3,0,0,11,5,5,21,82,186,555,2626,289,0,0,7,198,494,31410,12480,18930,832,2121,12,27,18,74,2,9,320,1273,57,310,1,7,0,4,0,252.83,66.322,13.619,52.142,42.442,40120
14,업무용,335,서울특별시,중구,서울,서울직할,서울특별시 중구 남대문로 92,완속01,완속,서울특별시 중구 남대문로 92,126.9830319,37.5653108,정좌표,1.11e+18,새주소,서울특별시 중구 남대문로 92,서울특별시 중구 을지로2가 199-4,4534.0,1114055000.0,명동,1114010500,을지로2가,,,350.0,5.0,3.0,40.0,2579,519.0,1047,205.0,996.0,488.0,368.0,312.0,14.0,66.0,173.0,68.0,388,7618,74250000,2024/04/30,N,2024/08/02,D,발달상권,3120028,명동(명동거리),17994029.0,134283.7985,101.0,112.0,79.0,135.0,243.0,309.0,358.0,281.0,288.0,298,372.0,352.0,388.0,376,269,186,135.0,81.0,36.0,8.0,5.0,52.0,67.0,41.0,51.0,82.0,150.0,184.0,140.0,136.0,130,164.0,167.0,156.0,154,118.0,65,56.0,21.0,8.0,5.0,,47.0,48.0,41.0,82.0,164.0,157.0,177.0,144.0,150.0,166.0,206.0,183.0,230.0,220,149,119.0,82.0,58.0,26.0,8.0,5.0,4400,1943,2455,35.0,77.0,102.0,97.0,29.0,193.0,360.0,320.0,66.0,61.0,263.0,904.0,,51.0,400.0,222.0,25.0,61.0,32.0,21.0,468.0,386.0,5.0,12.0,8.0,5.0,0.0,,,8.0,17.0,17.0,5.0,1279.0,379,542,62.0,5.0,1030.0,76.0,2092,5.0,0.0,14.19,0,54,6,67,142,68,24,566,1,222,512,217,3,0,0,11,5,5,21,82,186,555,2626,289,0,0,7,198,494,31410,12480,18930,832,2121,12,27,18,74,2,9,320,1273,57,310,1,7,0,4,0,252.83,66.322,13.619,52.142,42.442,1965
15,공용,328,서울특별시,성동구,서울,광진성동,서울특별시 성동구 마장로27길 13,급속01,급속,서울특별시 성동구 마장로27길 13,127.0341806,37.5682091,정좌표,1.12e+18,새주소,서울특별시 성동구 마장로27길 13,서울특별시 성동구 마장동 479-2,4705.0,1120054000.0,마장동,1120010500,마장동,,,744.0,0.0,3.0,113.0,1795,57.0,295,55.0,20.0,184.0,90.0,65.0,3.0,93.0,64.0,46.0,162,3793,3596000,2024/04/30,N,2024/08/02,A,골목상권,3110116,청계천박물관,69233.0,4615.533333,776.0,1051.0,855.0,659.0,1424.0,2406.0,2085.0,2043.0,2035.0,1746,2128.0,2025.0,1999.0,1488,1059,835,742.0,353.0,133.0,32.0,8.0,397.0,578.0,454.0,313.0,570.0,1058.0,963.0,1000.0,1047.0,895,1002.0,994.0,1010.0,726,490.0,346,301.0,112.0,23.0,5.0,,382.0,476.0,399.0,349.0,852.0,1346.0,1125.0,1041.0,991.0,849.0,1124.0,1034.0,992.0,765,567,487.0,439.0,244.0,108.0,27.0,8.0,25877,12280,13595,305.0,1666.0,1518.0,3345.0,99.0,837.0,296.0,178.0,146.0,624.0,922.0,6660.0,35.0,157.0,1658.0,401.0,187.0,2544.0,135.0,346.0,21.0,224.0,23.0,60.0,778.0,1680.0,713.0,105.0,98.0,203.0,29.0,827.0,40.0,8398.0,1885,4647,374.0,5.0,4582.0,290.0,11781,402.0,9.7,10.295,1,23,1,10,31,15,3,136,8,87,165,89,1,0,0,2,1,3,23,84,140,587,3495,172,0,2,18,583,775,43085,24484,18601,9,66,3,9,16,59,0,4,36,142,5,40,3,14,16,41,0,786.588,274.548,20.224,225.052,265.663,20487
